1527106102748,Wed May 23 22:08:22 2018,SessionManager,up
1527106102754,Wed May 23 22:08:22 2018,SessionManager,up
1527106112765,Wed May 23 22:08:32 2018,SessionManager,up
1527106129236,Wed May 23 22:08:49 2018,SessionManager,up
1527106129236,Wed May 23 22:08:49 2018,SessionManager,down
1527106145512,Wed May 23 22:09:05 2018,SessionManager,up
1527106145512,Wed May 23 22:09:05 2018,SessionManager,down
1527106166004,Wed May 23 22:09:26 2018,SessionManager,up
1527106166004,Wed May 23 22:09:26 2018,SessionManager,down
1527106176015,Wed May 23 22:09:36 2018,SessionManager,up
1527106186028,Wed May 23 22:09:46 2018,SessionManager,up
1527106196040,Wed May 23 22:09:56 2018,SessionManager,up
1527106206054,Wed May 23 22:10:06 2018,SessionManager,up
1527106216065,Wed May 23 22:10:16 2018,SessionManager,up
1527106226069,Wed May 23 22:10:26 2018,SessionManager,up
1527106236082,Wed May 23 22:10:36 2018,SessionManager,up
1527106246095,Wed May 23 22:10:46 2018,SessionManager,up
1527106256108,Wed May 23 22:10:56 2018,SessionManager,up
1527106266122,Wed May 23 22:11:06 2018,SessionManager,up
1527106276129,Wed May 23 22:11:16 2018,SessionManager,up
1527106286141,Wed May 23 22:11:26 2018,SessionManager,up
1527106296149,Wed May 23 22:11:36 2018,SessionManager,up
1527106306158,Wed May 23 22:11:46 2018,SessionManager,up
1527106316168,Wed May 23 22:11:56 2018,SessionManager,up
